count	DateAsNumber
1	2014-01-07
1	2014-01-07
1	2014-01-07
1	2014-01-07
1	2014-01-07
1	2014-01-07
1	2014-01-07
1	2014-01-07
1	2014-01-07
1	2014-01-07
1	2014-01-07
1	2014-01-07
1	2014-01-07
1	2014-01-07
1	2014-01-07
1	2014-01-07
1	2014-01-07
1	2014-01-07
1	2014-01-09
1	2014-01-09
1	2014-01-09
1	2014-01-09
1	2014-01-10
1	2014-01-10
1	2014-01-10
1	2014-01-10
1	2014-01-10
1	2014-01-13
1	2014-01-13
1	2014-01-13
1	2014-01-13
1	2014-01-13
1	2014-01-13
1	2014-01-13
1	2014-01-13
1	2014-01-13
1	2014-01-13
1	2014-01-13
1	2014-01-13
1	2014-01-13
1	2014-01-13
1	2014-01-13
1	2014-01-13
1	2014-01-13
1	2014-01-13
1	2014-01-13
1	2014-01-13
1	2014-01-13
1	2014-01-13
1	2014-01-13
1	2014-01-13
1	2014-01-13
1	2014-01-13
1	2014-01-13
1	2014-01-13
1	2014-01-13
1	2014-01-21
1	2014-01-21
1	2014-01-21
1	2014-01-21
1	2014-01-21
1	2014-01-21
1	2014-01-21
1	2014-01-21
1	2014-01-21
1	2014-01-26
1	2014-01-26
1	2014-01-27
1	2014-01-29
1	2014-02-01
1	2014-02-01
1	2014-02-01
1	2014-02-01
1	2014-02-16
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-03
1	2014-03-05
1	2014-03-05
1	2014-03-05
1	2014-03-05
1	2014-03-05
1	2014-03-05
1	2014-03-05
1	2014-03-05
1	2014-03-05
1	2014-03-05
1	2014-03-10
1	2014-03-10
1	2014-03-10
1	2014-03-10
1	2014-03-11
1	2014-03-11
1	2014-03-11
1	2014-03-11
1	2014-03-18
1	2014-03-18
1	2014-03-18
1	2014-03-18
1	2014-03-18
1	2014-03-18
1	2014-03-18
1	2014-03-18
1	2014-03-18
1	2014-03-18
1	2014-03-18
1	2014-03-18
1	2014-03-18
1	2014-03-21
1	2014-03-21
1	2014-03-21
1	2014-03-21
1	2014-03-25
1	2014-03-25
1	2014-03-25
1	2014-03-25
1	2014-03-25
1	2014-03-25
1	2014-03-25
1	2014-03-25
1	2014-03-25
1	2014-03-25
1	2014-03-25
1	2014-03-25
1	2014-03-25
1	2014-03-25
1	2014-03-25
1	2014-03-26
1	2014-03-26
1	2014-03-26
1	2014-03-26
1	2014-03-26
1	2014-03-26
1	2014-03-27
1	2014-03-27
1	2014-03-28
1	2014-03-28
1	2014-03-28
1	2014-03-28
1	2014-04-02
1	2014-04-02
1	2014-04-02
1	2014-04-07
1	2014-04-07
1	2014-04-07
1	2014-04-07
1	2014-04-07
1	2014-04-07
1	2014-04-15
1	2014-04-15
1	2014-04-15
1	2014-04-15
1	2014-04-16
1	2014-04-16
1	2014-04-16
1	2014-04-16
1	2014-04-16
1	2014-04-16
1	2014-04-16
1	2014-04-16
1	2014-04-16
1	2014-04-16
1	2014-04-16
1	2014-04-16
1	2014-04-16
1	2014-04-16
1	2014-04-16
1	2014-04-16
1	2014-04-16
1	2014-04-16
1	2014-04-16
1	2014-04-16
1	2014-04-16
1	2014-04-16
1	2014-04-16
1	2014-04-16
1	2014-04-16
1	2014-04-16
1	2014-04-16
1	2014-04-16
1	2014-04-16
1	2014-04-16
1	2014-04-16
1	2014-04-16
1	2014-04-21
1	2014-04-21
1	2014-04-21
1	2014-04-21
1	2014-04-21
1	2014-04-21
1	2014-04-21
1	2014-04-21
1	2014-04-21
1	2014-04-21
1	2014-04-21
1	2014-04-21
1	2014-04-21
1	2014-04-21
1	2014-04-21
1	2014-04-21
1	2014-04-21
1	2014-04-21
1	2014-04-21
1	2014-04-21
1	2014-04-29
1	2014-04-29
1	2014-05-07
1	2014-05-07
1	2014-05-07
1	2014-05-07
1	2014-05-09
1	2014-05-09
1	2014-05-09
1	2014-05-09
1	2014-05-09
1	2014-05-09
1	2014-05-09
1	2014-05-09
1	2014-05-09
1	2014-05-09
1	2014-05-09
1	2014-05-09
1	2014-05-15
1	2014-05-30
1	2014-05-30
1	2014-05-30
1	2014-05-30
1	2014-05-31
1	2014-05-31
1	2014-05-31
1	2014-05-31
1	2014-05-31
1	2014-05-31
1	2014-06-01
1	2014-06-01
1	2014-06-02
1	2014-06-02
1	2014-06-02
1	2014-06-02
1	2014-06-02
1	2014-06-02
1	2014-06-02
1	2014-06-02
1	2014-06-02
1	2014-06-02
1	2014-06-02
1	2014-06-02
1	2014-06-02
1	2014-06-02
1	2014-06-02
1	2014-06-02
1	2014-06-02
1	2014-06-02
1	2014-06-02
1	2014-06-02
1	2014-06-02
1	2014-06-02
1	2014-06-02
1	2014-06-02
1	2014-06-02
1	2014-06-02
1	2014-06-02
1	2014-06-02
1	2014-06-02
1	2014-06-02
1	2014-06-02
1	2014-06-03
1	2014-06-03
1	2014-06-03
1	2014-06-03
1	2014-06-03
1	2014-06-03
1	2014-06-03
1	2014-06-03
1	2014-06-05
1	2014-06-05
1	2014-06-06
1	2014-06-06
1	2014-06-06
1	2014-06-06
1	2014-06-06
1	2014-06-06
1	2014-06-06
1	2014-06-06
1	2014-06-20
1	2014-06-20
1	2014-06-20
1	2014-06-20
1	2014-06-20
1	2014-06-20
1	2014-06-20
1	2014-06-20
1	2014-06-20
1	2014-06-20
1	2014-06-20
1	2014-06-20
1	2014-06-20
1	2014-06-20
1	2014-06-20
1	2014-06-20
